,GSM398085,GSM398101,GSM398103,GSM398107,GSM398127,GSM398129,GSM398133,GSM398135,GSM398139,GSM398145,GSM398147,GSM398153,GSM398155,GSM398084,GSM398100,GSM398102,GSM398106,GSM398126,GSM398128,GSM398132,GSM398134,GSM398138,GSM398144,GSM398146,GSM398152,GSM398154
201907_x_at,8.98222927340988,9.168918018192,9.13168632482639,8.87777998306441,8.93881115040124,8.83770028862852,9.14090931629426,8.92989328453687,8.82699496513218,8.81859023086379,8.57607604655947,8.90250284668883,8.86840284276177,8.89703431876198,9.25124350882651,9.12037864751582,9.03445567646169,8.96880903222416,8.9826102363295,9.01558562326873,8.91974849998523,8.92599501751658,8.57922795468319,8.59291520013096,8.63422173635574,8.9574918245338
201908_at,11.5658272295107,11.6199689292267,11.7540872986941,11.7172787860584,11.7134702293537,11.8478056301319,11.9398482727817,11.749867839876,11.7961718308281,11.969136867336,11.7400191555284,11.6710082588899,11.6987832996764,11.9210134519538,11.9718643415152,11.7032484809029,11.7641831056448,11.6967349455057,11.8919808705962,11.7817527865808,12.0518615429012,11.9022252549189,11.8668070667408,11.8032225672497,11.6849394180977,11.7774231437131
202035_s_at,8.41267360056544,8.55137820616009,8.41168673740331,8.27782459203397,8.29470492831316,8.31451860269227,8.47219275284587,8.49485993566006,8.21433835221389,8.38303107016972,8.84063396250684,8.40334893202542,8.40939856123065,8.46108407261287,8.3853401152178,8.82247239073719,8.45962101973121,8.96068225775746,8.47219275284587,8.41453765984009,8.63285607562646,8.26686935657538,8.56140434212678,8.46294160533588,8.70435458049507,8.3244294546833
202036_s_at,12.1874848810934,12.0788640107147,11.8318765837183,11.7412082315663,11.6685381784972,11.8429805411488,12.1530321542673,12.0244355236763,11.8603976966728,12.2674027690973,12.1096174107408,11.9680650230491,12.0518615429012,12.2007054432192,11.9110495638199,11.9739000655722,12.0110565033441,12.3231287820815,12.2401870988851,11.9662899485468,12.1632419178349,11.9310937371512,12.0576228542638,12.3121045353197,12.1428526642848,12.1465757228244
202037_s_at,11.6407288784098,11.525852786756,10.6371070824962,10.6118818014396,11.1714238051835,10.9290253966909,10.8560611161627,12.1741541535369,11.36337150015,11.9898710320116,12.4040532768203,11.4217040803662,10.9154519365048,11.8276393405868,11.2746743976513,11.4510103198614,11.248229749208,11.9610695211299,11.5818870042741,11.3369375025489,11.3718286336194,11.3819327201713,12.0620697026647,12.0452020584045,11.4644381244363,11.2160128197778
202160_at,11.1499180142148,11.5014054266276,11.2890883751241,11.885917527055,11.1106776165997,11.4183364637866,10.782641652048,11.2617767572668,11.5035284148591,11.3294851928943,11.3118904485125,11.2119228121582,11.1826421787095,11.2407458435239,11.7661551814017,11.2690790577778,11.4050544236316,11.4092359009603,11.3954337395504,11.06274542643,10.6915554988096,11.2188345731303,11.4632666280458,11.3886238914389,11.4035014170062,11.3170349251075
202221_s_at,9.28058964583203,9.25781399711353,9.49212078243528,9.71609887130898,9.5645556568889,9.63452807355652,9.30683130905156,9.32246531609976,9.42469738952033,9.53287514617663,9.48569179713911,9.31372733257445,9.424836122883,9.30037332871183,9.38828582499837,9.29113353365362,9.37165205832449,9.40106653256821,9.53742771095809,9.34860810674541,9.35808043505393,9.38231188356534,9.30318762316286,9.44622962240677,9.33700737350161,9.40251767784052
202283_at,10.486214636228,10.9881263291169,10.9538251314452,10.8070434115886,11.3063273075799,11.2041799758684,10.7990126164032,11.178369168072,10.8743805916965,11.0011449840207,11.4422843844406,11.2729344827547,10.7863402055451,11.8943281275273,11.296295844328,12.4743759168072,11.6650860728899,11.9562714202438,11.8747040850395,11.2078465815081,11.460985609454,11.7116293530835,12.0399391738226,12.1108165095805,11.8596388898787,11.0794577163004
202332_at,9.40611126678126,9.62747665951255,9.44323691238253,9.22551857636662,9.34326665769027,9.30284865151781,9.43882946221404,9.40675445025615,9.15372900972635,9.14384173004493,9.42795918414264,9.41179054454906,9.3501281360813,9.364682212724,9.11281246798741,9.6520076142859,9.59348805932585,9.45790802260862,9.41081325842423,9.45197062339808,9.25558336414956,9.25677698330579,9.35219581306305,9.3671873937647,9.32339989575244,9.33550068643169
202425_x_at,10.9020063050018,10.6885657144625,10.584926965912,10.7276079652632,10.5104150830478,10.489994884983,10.8659196899357,10.473114461941,10.622713868107,10.7378064189025,10.4526847465785,10.4703243325012,10.4342018801641,10.6747687094311,10.460251355774,10.4257213206132,10.4605663304923,10.4703243325012,10.3516488386053,10.6110928056938,10.474062308103,10.4474881846953,10.513062950038,10.6156217777978,10.7408734707685,10.7544634189705
202429_s_at,10.4048124776446,10.222134716338,12.4729122601071,10.4450976479227,10.4520438975839,10.3984381780155,10.4443547613533,10.7463328150355,10.4580414054323,10.7493583005648,10.7822049145683,10.6387870827048,10.1894084586647,10.6160856501183,10.5879714032617,10.5844521795737,10.7879298977464,10.7484281996342,10.3953000965418,10.1882251944915,10.7232850967837,10.7504587007169,10.8399461212607,10.7003088170947,10.3431709658696,10.267670638672
202431_s_at,10.7866486288531,11.0526030624281,10.6951497922876,10.3536860028344,11.0409328229498,10.8407758780587,10.694390620795,10.976304707859,10.8187266324974,11.1610709512968,10.8493656706523,10.9688686061689,10.8967544677129,10.8210263853409,11.9162589888678,11.3852253243932,10.9958244835397,11.1657259575901,10.9105597264733,11.1452131961509,10.7815187881083,10.8315153933059,10.9354053863494,10.5718734501109,10.8941891000579,10.8668360366091
202432_at,10.6687607691741,10.5793718901143,10.7102986443188,10.8774604094006,10.4144610721465,10.6387870827048,10.4680353783993,10.8676295124651,10.9792074628032,10.7991829595684,11.1110339259798,10.8107852504868,10.3843299421998,11.2457017831254,10.5712571028909,11.0566175159916,10.7825216025892,11.0073952690115,10.9943952750598,10.8125753696237,10.789735384092,10.8149023344727,11.2294395822007,11.2292523775496,11.0384370302307,10.4463847766731
202457_s_at,10.1306023798525,10.1973352808161,12.7317654905851,10.746160979921,10.5647904423431,10.1069917862443,10.4130323514197,10.5224308503141,10.3480842305941,10.2357413295464,10.6576284784371,10.3052201611272,10.15198597836,10.2110384887039,10.2533973304767,10.2112069975108,10.1983923882068,10.3394254198723,10.2472721994345,10.0064688937733,10.1479702354685,10.1032843193018,10.4774315930542,10.3813611780134,10.2849843237061,9.83367392981471
202526_at,9.47392622249249,9.40251767784052,9.52467404243543,9.46968004195171,9.4506957541979,9.58279736194547,9.27880265278596,9.72512368392864,9.75868224225642,9.56595312373134,9.53051482031769,9.41269726512531,9.65719433266969,9.48466004123037,9.27487532881549,9.47074186915359,9.32009601767188,9.49195386273217,9.43070133663584,9.59712510672624,9.57260163247075,9.52859834103039,9.72087157849769,9.53348460487224,9.53411985898713,9.46921118897867
202527_s_at,9.89428793736246,9.63741118621304,9.95497898036959,9.72831199960119,9.66020461259989,9.90670393482871,9.74500787690863,9.94039797190519,9.95975889789445,10.038211552821,10.0248278098683,9.72271071438212,9.78832161444487,9.97805909079229,9.77913024227301,9.5249579902663,9.68779702102181,9.6507639926707,9.96819913046454,9.92412291991035,10.2272381250294,9.91392280000388,10.1352948176089,10.0713183693865,9.93979901483534,9.75607741383916
