Probe Set ID,Gene Symbol G,Entrez Gene,IDENTIFIER
214038_at,CCL8,6355,CCL8
214039_s_at,LAPTM4B,55353,LAPTM4B
214040_s_at,GSN,2934,GSN
214041_x_at,RPL37A,6168,RPL37A
214042_s_at,RPL22,6146,RPL22
214043_at,PTPRD,5789,PTPRD
214044_at,RYR2,6262,RYR2
214045_at,LIAS,11019,LIAS
214046_at,FUT9,10690,FUT9
214047_s_at,MBD4,8930,MBD4
214048_at,MBD4,8930,MBD4
214049_x_at,CD7,924,CD7
214050_at,---,---,CGGBP1
214051_at,LOC101060235 /// TMSB15A /// TMSB15B,11013 /// 286527 /// 101060235,TMSB15B
214052_x_at,PRRC2C,23215,PRRC2C
214053_at,ERBB4,2066,ERBB4
214054_at,DOK2,9046,DOK2
214055_x_at,PRRC2C,23215,PRRC2C
214056_at,MCL1,4170,MCL1
214057_at,MCL1,4170,MCL1
214058_at,MYCL1,4610,MYCL
214059_at,IFI44,10561,IFI44
214060_at,SSBP1,6742,SSBP1
214061_at,WDR67,93594,TBC1D31
214062_x_at,NFKBIB,4793,NFKBIB
214063_s_at,TF,7018,TF
214064_at,TF,7018,TF
214065_s_at,CIB2,10518,CIB2
214066_x_at,NPR2,4882,NPR2
214067_at,TSR3,115939,TSR3
214068_at,BEAN1,146227,BEAN1
214069_at,ACSM2A /// ACSM2B,123876 /// 348158,ACSM2B
214070_s_at,ATP10B,23120,ATP10B
214071_at,GNAL,2774,GNAL
214072_x_at,NENF,29937,NENF
214073_at,CTTN,2017,CTTN
214074_s_at,CTTN,2017,CTTN
214075_at,NENF,29937,NENF
214076_at,GFOD2,81577,GFOD2
214077_x_at,MEIS3P1,4213,MEIS3P1
214078_at,---,---,PAK3
214079_at,DHRS2,10202,DHRS2
214080_x_at,PRKCSH,5589,PRKCSH
214081_at,PLXDC1,57125,PLXDC1
214082_at,CA5B,11238,CA5B
214083_at,PPP2R5C,5527,PPP2R5C
214084_x_at,NCF1C,654817,NCF1
214085_x_at,GLIPR1,11010,GLIPR1
214086_s_at,PARP2,10038,PARP2
214087_s_at,MYBPC1,4604,MYBPC1
214088_s_at,FUT3,2525,FUT3
214089_at,RPS8,6202,RPS8
214090_at,PAWR,5074,PAWR
214091_s_at,GPX3,2878,GPX3
214092_x_at,SUGP2,10147,SUGP2
214093_s_at,FUBP1,8880,FUBP1
214094_at,FUBP1,8880,FUBP1
214095_at,SHMT2,6472,SHMT2
214096_s_at,SHMT2,6472,SHMT2
214097_at,RPS21,6227,RPS21
214098_at,KIAA1107,23285,KIAA1107
214099_s_at,LOC100996724 /// LOC100996761 /// LOC101060291 /// LOC101060344 /// LOC101060353 /// LOC101060463 /// LOC101060582 /// LOC728802 /// PDE4DIP,9659 /// 728802 /// 100996724 /// 100996761 /// 101060291 /// 101060344 /// 101060353 /// 101060463 /// 101060582,LOC101930416
214100_x_at,NSUN5P1,155400,NSUN5P1
214101_s_at,NPEPPS,9520,NPEPPS
214102_at,---,---,214102_at
214103_s_at,RAP2A,5911,RAP2A
214104_at,GPR161,23432,GPR161
214105_at,SOCS3,9021,SOCS3
214106_s_at,GMDS,2762,GMDS
214107_x_at,LOC101060440 /// LOC101060471 /// LOC101060522 /// LOC440434 /// NPEPPS /// TBC1D3,9520 /// 440434 /// 729873 /// 101060440 /// 101060471 /// 101060522,LOC440434
214108_at,MAX,4149,MAX
214109_at,LRBA,987,LRBA
214110_s_at,LOC654342,654342,LOC654342
214111_at,OPCML,4978,OPCML
214112_s_at,CXorf40A /// CXorf40B,91966 /// 541578,CXorf40B
214113_s_at,LOC101060541 /// RBM8A,9939 /// 101060541,RBM8A
214114_x_at,FASTK,10922,FASTK
214115_at,VAMP5,10791,VAMP5
214116_at,BTD,686,BTD
214117_s_at,BTD,686,BTD
214118_x_at,PCM1,5108,PCM1
214119_s_at,FKBP1A,2280,LOC101929368
214120_at,RFPL1S,10740,RFPL1S
214121_x_at,PDLIM7,9260,PDLIM7
214122_at,PDLIM7,9260,PDLIM7
214123_s_at,NOP14-AS1,317648,NOP14-AS1
214124_x_at,FGFR1OP,11116,FGFR1OP
214125_s_at,NENF,29937,NENF
214126_at,---,---,N39314
214127_s_at,SRRT,51593,SRRT
214128_at,DAGLA,747,DAGLA
214129_at,LOC100996724 /// LOC100996761 /// LOC101060291 /// LOC101060344 /// LOC101060353 /// LOC101060463 /// LOC101060582 /// LOC728802 /// PDE4DIP,9659 /// 728802 /// 100996724 /// 100996761 /// 101060291 /// 101060344 /// 101060353 /// 101060463 /// 101060582,LOC101930416
214130_s_at,LOC100996724 /// LOC100996761 /// LOC101060291 /// LOC101060344 /// LOC101060353 /// LOC101060463 /// LOC101060582 /// LOC728802 /// PDE4DIP,9659 /// 728802 /// 100996724 /// 100996761 /// 101060291 /// 101060344 /// 101060353 /// 101060463 /// 101060582,LOC101930416
214131_at,TXLNG2P,246126,TXLNGY
214132_at,ATP5C1,509,ATP5C1
214133_at,MUC6,4588,MUC6
214134_at,KIAA1211L,343990,KIAA1211L
214135_at,CLDN18,51208,CLDN18
214136_at,NUDT13,25961,NUDT13
214137_at,PTPRJ,5795,PTPRJ
214138_at,ZNF79,7633,ZNF79
214139_at,ARID4B,51742,ARID4B
214140_at,SLC25A16,8034,SLC25A16
214141_x_at,SRSF7,6432,SRSF7
214142_at,ZG16,653808,ZG16
214143_x_at,RPL24,6152,RPL24
214144_at,POLR2D,5433,POLR2D
214145_s_at,SPTB,6710,SPTB
214146_s_at,PPBP,5473,PPBP
214147_at,MROH7,374977,MROH7
214148_at,ITFG2 /// LOC100507424,55846 /// 100507424,LOC100507424
214149_s_at,ATP6V0E1,8992,ATP6V0E1
214150_x_at,ATP6V0E1,8992,ATP6V0E1
214151_s_at,CCPG1 /// DYX1C1-CCPG1,9236 /// 100533483,DYX1C1-CCPG1
214152_at,CCPG1 /// DYX1C1-CCPG1,9236 /// 100533483,DYX1C1-CCPG1
214153_at,ELOVL5,60481,ELOVL5
214154_s_at,PKP2,5318,PKP2
214155_s_at,LARP4,113251,LARP4
214156_at,MYRIP,25924,MYRIP
214157_at,GNAS,2778,GNAS
214158_s_at,PRDM10,56980,PRDM10
214159_at,PLCE1,51196,PLCE1
214160_at,---,---,214160_at
214161_at,OSGIN2,734,OSGIN2
214162_at,ASXL3 /// LOC284244,80816 /// 284244,ASXL3
214163_at,HSPB11,51668,HSPB11
214164_x_at,CA12,771,CA12
214165_s_at,HS6ST1,9394,HS6ST1
214166_at,SDHB,6390,SDHB
214167_s_at,RPLP0,6175,RPLP0
214168_s_at,TJP1,7082,TJP1
214169_at,SUN1,23353,SUN1
214170_x_at,FH,2271,FH
214171_s_at,U2AF2,11338,U2AF2
214172_x_at,RYK,6259,RYK
214173_x_at,URI1,8725,URI1
214174_s_at,PDLIM4,8572,PDLIM4
214175_x_at,PDLIM4,8572,PDLIM4
214176_s_at,PBXIP1,57326,PBXIP1
214177_s_at,PBXIP1,57326,PBXIP1
214178_s_at,SOX2,6657,SOX2
214179_s_at,NFE2L1,4779,NFE2L1
214180_at,MAN1C1,57134,MAN1C1
214181_x_at,LST1,7940,LST1
214182_at,---,---,AA243143
214183_s_at,TKTL1,8277,TKTL1
214184_at,NPFF,8620,NPFF
214185_at,KHDRBS1,10657,KHDRBS1
214186_s_at,HCG26,352961,HCG26
214187_x_at,CTDSPL,10217,CTDSPL
214188_at,---,---,214188_at
214189_s_at,GGA2,23062,GGA2
214190_x_at,GGA2,23062,GGA2
214191_at,ICA1,3382,ICA1
214192_at,NUP88,4927,NUP88
214193_s_at,DIEXF,27042,DIEXF
214194_at,DIS3,22894,DIS3
214195_at,TPP1,1200,TPP1
214196_s_at,TPP1,1200,TPP1
214197_s_at,SETDB1,9869,SETDB1
214198_s_at,DGCR2,9993,DGCR2
214199_at,SFTPD,6441,SFTPD
214200_s_at,COL6A1,1291,COL6A1
214201_x_at,PRRC2A,7916,PRRC2A
214202_at,CTC-428G20.3 /// OTTHUMG00000162912,---,214202_at
214203_s_at,PRODH,5625,LOC102724788
214204_at,PACRG,135138,PACRG
214205_x_at,GLRX3,10539,GLRX3
214206_at,PPIL6,285755,PPIL6
214207_s_at,CARD10,29775,CARD10
214208_at,KLHL35,283212,KLHL35
214209_s_at,ABCB9,23457,ABCB9
214210_at,SLC25A17,10478,SLC25A17
214211_at,FTH1,2495,FTH1
214212_x_at,FERMT2,10979,FERMT2
214213_x_at,LMNA,4000,LMNA
214214_s_at,C1QBP,708,C1QBP
214215_s_at,LARP4B,23185,LARP4B
214216_s_at,LARP4B,23185,LARP4B
214217_at,GRM5,2915,GRM5
214218_s_at,XIST,7503,XIST
214219_x_at,MAP4K1,11184,MAP4K1
214220_s_at,ALMS1,7840,ALMS1
214221_at,ALMS1,7840,ALMS1
214222_at,DNAH7,56171,DNAH7
214223_at,---,---,PTP4A3
214224_s_at,PIN4,5303,PIN4
214225_at,PIN4,5303,PIN4
214226_at,PRSS53,339105,PRSS53
214227_at,---,---,214227_at
214228_x_at,TNFRSF4,7293,TNFRSF4
214229_at,DNAH17,8632,DNAH17
214230_at,CDC42,998,CDC42
214231_s_at,VWA8,23078,VWA8
214232_at,---,---,ABCF2
214233_at,GGA2,23062,GGA2
214234_s_at,CYP3A5,1577,CYP3A5
214235_at,CYP3A5,1577,CYP3A5
214236_at,---,---,214236_at
214237_x_at,PAWR,5074,PAWR
214238_at,AC012065.7 /// OTTHUMG00000151782,---,AI093572
214239_x_at,PCGF2,7703,PCGF2
214240_at,GAL,51083,GAL
214241_at,NDUFB8,4714,NDUFB8
214242_at,MAN1A2,10905,MAN1A2
214243_s_at,SERHL /// SERHL2,94009 /// 253190,SERHL2
214244_s_at,ATP6V0E1,8992,ATP6V0E1
214245_at,RPS14,6208,RPS14
214246_x_at,MINK1,50488,MINK1
214247_s_at,DKK3,27122,DKK3
214248_s_at,TRIM2,23321,TRIM2
214249_at,TRIM2,23321,TRIM2
214250_at,NUMA1,4926,NUMA1
214251_s_at,NUMA1,4926,NUMA1
214252_s_at,CLN5,1203,CLN5
214253_s_at,DTNB,1838,DTNB
214254_at,MAGEA4,4103,MAGEA4
214255_at,ATP10A,57194,ATP10A
214256_at,ATP10A,57194,ATP10A
214257_s_at,SEC22B,9554,SEC22B
214258_x_at,KAT5,10524,KAT5
214259_s_at,AKR7A2,8574,AKR7A2
214260_at,COPS8,10920,COPS8
214261_s_at,ADH6,130,ADH6
214262_at,TRIP6,7205,MIR6875
214263_x_at,POLR2C,5432,POLR2C
214264_s_at,EFCAB11,90141,EFCAB11
214265_at,ITGA8,8516,ITGA8
214266_s_at,PDLIM7,9260,PDLIM7
214267_s_at,CADM4,199731,CADM4
214268_s_at,MTMR4,9110,MTMR4
214269_at,MFSD7,84179,MFSD7
214270_s_at,MAPRE3,22924,MAPRE3
214271_x_at,RPL12,6136,RPL12
214272_at,CYLD,1540,CYLD
214273_x_at,NPRL3,8131,NPRL3
214274_s_at,ACAA1,30,ACAA1
214275_at,MED12,9968,MED12
214276_at,KLF12,11278,KLF12
214277_at,COX11,1353,COX11
214278_s_at,NDRG2,57447,NDRG2
214279_s_at,NDRG2,57447,NDRG2
214280_x_at,HNRNPA1,3178,HNRNPA1
214281_s_at,RCHY1,25898,RCHY1
214282_at,---,---,214282_at
214283_at,TMEM97,27346,TMEM97
214284_s_at,FGF18,8817,FGF18
214285_at,FABP3,2170,FABP3
214286_at,GNAT1,2779,GNAT1
214287_s_at,CDK13,8621,CDK13
214288_s_at,PSMB1,5689,PSMB1
214289_at,PSMB1,5689,PSMB1
214290_s_at,HIST2H2AA3 /// HIST2H2AA4,8337 /// 723790,HIST2H2AA4
214291_at,RPL17 /// RPL17-C18orf32 /// SNORD58A /// SNORD58B /// SNORD58C,6139 /// 26790 /// 26791 /// 100124516 /// 100526842,RPL17-C18orf32
214292_at,ITGB4,3691,ITGB4
214293_at,/SEPT11,55752,11-Sep
214294_at,KIAA0485,57235,KIAA0485
214295_at,KIAA0485,57235,KIAA0485
214296_x_at,IZUMO4,113177,IZUMO4
214297_at,CSPG4,1464,CSPG4
214298_x_at,/SEPT6,23157,6-Sep
214299_at,TOP3A,7156,TOP3A
214300_s_at,TOP3A,7156,TOP3A
214301_s_at,DPYSL4,10570,DPYSL4
214302_x_at,GJC2,57165,GJC2
214303_x_at,MUC5AC,4586,MUC5AC
214304_x_at,OTTHUMG00000171895 /// RP11-654A16.3,---,214304_x_at
214305_s_at,SF3B1,23451,SF3B1
214306_at,OPA1,4976,OPA1
214307_at,HGD,3081,HGD
214308_s_at,HGD,3081,HGD
214309_s_at,---,---,AI435747
214310_s_at,ZFPL1,7542,ZFPL1
214311_at,ZFPL1,7542,ZFPL1
214312_at,FOXA2,3170,FOXA2
214313_s_at,EIF5B,9669,EIF5B
214314_s_at,EIF5B,9669,EIF5B
214315_x_at,CALR,811,CALR
214316_x_at,CTC-425F1.4 /// OTTHUMG00000180575,---,214316_x_at
214317_x_at,RPS9,6203,RPS9
214318_s_at,FRY,10129,FRY
214319_at,FRY,10129,FRY
214320_x_at,CYP2A6,1548,CYP2A6
214321_at,NOV,4856,NOV
214322_at,CAMK2G,818,CAMK2G
214323_s_at,UPF3A,65110,UPF3A
214324_at,GP2,2813,GP2
214325_at,GP2,2813,GP2
214326_x_at,JUND,3727,JUND
214327_x_at,TPT1,7178,LOC101928826
214328_s_at,HSP90AA1,3320,HSP90AA1
214329_x_at,TNFSF10,8743,TNFSF10
214330_at,ATPAF2,91647,ATPAF2
214331_at,TSFM,10102,TSFM
214332_s_at,TSFM,10102,TSFM
214333_x_at,IDH3G,3421,IDH3G
214334_x_at,DAZAP2,9802,DAZAP2
214335_at,RPL18,6141,RPL18
214336_s_at,COPA,1314,COPA
214337_at,COPA,1314,COPA
214338_at,DNAJB12,54788,DNAJB12
214339_s_at,MAP4K1,11184,MAP4K1
214340_at,ALOX12P2,245,ALOX12P2
214341_at,AP1G2,8906,AP1G2
214342_at,ATXN7L1,222255,ATXN7L1
214343_s_at,ATXN7L1,222255,ATXN7L1
214344_at,LINC00950,92973,LINC00950
214345_at,CTD-2269F5.1 /// OTTHUMG00000162622,---,214345_at
214346_at,C1QL1,10882,C1QL1
214347_s_at,DDC,1644,DDC
214348_at,TACR2,6865,TACR2
214349_at,---,---,AV764378
214350_at,SNTB2,6645,SNTB2
214351_x_at,RPL13 /// SNORD68,6137 /// 606500,SNORD68
214352_s_at,KRAS,3845,KRAS
214353_at,---,---,214353_at
214354_x_at,SFTPB,6439,SFTPB
214355_x_at,CTAGE15 /// CTAGE4 /// CTAGE6 /// CTAGE8 /// CTAGE9 /// LOC101060696,340307 /// 441294 /// 643854 /// 100128553 /// 100142659 /// 101060696,CTAGE8
214356_s_at,KIAA0368,23392,KIAA0368
214357_at,C1orf105,92346,C1orf105
214358_at,ACACA,31,ACACA
214359_s_at,HSP90AB1,3326,HSP90AB1
214360_at,SMARCA4,6597,SMARCA4
214361_s_at,RGS12,6002,RGS12
214362_at,RGS12,6002,RGS12
214363_s_at,MATR3 /// SNHG4,9782 /// 724102,SNHG4
214364_at,MTERFD2,130916,MTERF4
214365_at,TPM3,7170,TPM3
214366_s_at,ALOX5,240,ALOX5
214367_at,RASGRP2,10235,RASGRP2
214368_at,RASGRP2,10235,RASGRP2
214369_s_at,RASGRP2,10235,RASGRP2
214370_at,S100A8,6279,S100A8
214371_at,TSSK2,23617,TSSK2
214372_x_at,ERN2,10595,ERN2
214373_at,---,---,AI582773
214374_s_at,PPFIBP1,8496,PPFIBP1
214375_at,PPFIBP1,8496,PPFIBP1
214376_at,OTTHUMG00000176279 /// RP13-514E23.1,---,MAPK10
214377_s_at,CTRL,1506,CTRL
214378_at,TFPI,7035,TFPI
214379_at,HNRNPDL,9987,HNRNPDL
214380_at,PRPF31,26121,PRPF31
214381_at,LOC441601,441601,LOC441601
214382_at,UNC93A,54346,UNC93A
214383_x_at,KLHDC3,116138,KLHDC3
214384_s_at,DCTN2,10540,DCTN2
214385_s_at,LOC101059911 /// MUC5AC,4586 /// 101059911,MUC5AC
214386_at,---,---,214386_at
214387_x_at,SFTPC,6440,SFTPC
214388_at,---,---,214388_at
214389_at,SLC5A12,159963,SLC5A12
214390_s_at,BCAT1,586,BCAT1
214391_x_at,PTGER1,5731,PTGER1
214392_at,IRGC,56269,IRGC
214393_at,RND2,8153,RND2
214394_x_at,EEF1D,1936,EEF1D
214395_x_at,EEF1D,1936,EEF1D
214396_s_at,MBD2,8932,MBD2
214397_at,MBD2,8932,MBD2
214398_s_at,IKBKE,9641,IKBKE
214399_s_at,KRT4,3851,KRT4
214400_at,INSL3,3640,INSL3
214401_at,PAX1,5075,PAX1
214402_s_at,SFI1,9814,SFI1
214403_x_at,SPDEF,25803,SPDEF
214404_x_at,SPDEF,25803,SPDEF
214405_at,---,---,Z39557
214406_s_at,SLC7A4,6545,SLC7A4
214407_x_at,GYPB,2994,GYPB
214408_s_at,RFPL1S /// RFPL3S,10737 /// 10740,RFPL1S
214409_at,RFPL3S,10737,RFPL3S
214410_at,OTTHUMG00000172221 /// RP11-348B17.1,---,TRPM1
214411_x_at,CTRB2,440387,CTRB2
214412_at,H2AFB1 /// H2AFB2 /// H2AFB3,83740 /// 474381 /// 474382,H2AFB1
214413_at,TAT,6898,TAT
214414_x_at,HBA1 /// HBA2,3039 /// 3040,HBA2
214415_at,PLGLA /// PLGLB1 /// PLGLB2,5342 /// 5343 /// 285189,PLGLB1
214416_at,---,---,214416_at
214417_s_at,FETUB,26998,FETUB
214418_at,CT62,196993,CT62
214419_s_at,CYP2C9,1559,CYP2C9
214420_s_at,CYP2C9,1559,CYP2C9
214421_x_at,CYP2C9,1559,CYP2C9
214422_at,RAD23B,5887,RAD23B
214423_x_at,ALDOB,229,ALDOB
214424_s_at,ALDOB,229,ALDOB
214425_at,AMBP,259,AMBP
214426_x_at,CHAF1A,10036,CHAF1A
214427_at,NOP2,4839,NOP2
214428_x_at,C4A /// C4B /// C4B_2,720 /// 721 /// 100293534,C4B_2
214429_at,MTMR6,9107,MTMR6
214430_at,GLA,2717,GLA
214431_at,GMPS,8833,GMPS
214432_at,ATP1A3,478,LOC101927137
214433_s_at,SELENBP1,8991,SELENBP1
214434_at,HSPA12A,259217,HSPA12A
214435_x_at,RALA,5898,RALA
214436_at,FBXL2,25827,FBXL2
214437_s_at,SHMT2,6472,SHMT2
214438_at,HLX,3142,HLX
214439_x_at,BIN1,274,BIN1
214440_at,NAT1,9,NAT1
214441_at,STX6,10228,STX6
214442_s_at,PIAS2,9063,PIAS2
214443_at,PVR,5817,PVR
214444_s_at,PVR,5817,PVR
214445_at,ELL2,22936,ELL2
214446_at,ELL2,22936,ELL2
214447_at,ETS1,2113,ETS1
214448_x_at,NFKBIB,4793,NFKBIB
214449_s_at,RHOQ,23433,RHOQ
214450_at,CTSW,1521,CTSW
214451_at,TFAP2B,7021,TFAP2B
214452_at,BCAT1,586,BCAT1
214453_s_at,IFI44,10561,IFI44
214454_at,ADAMTS2,9509,ADAMTS2
214455_at,HIST1H2BC /// HIST1H2BE /// HIST1H2BF /// HIST1H2BG /// HIST1H2BI,8339 /// 8343 /// 8344 /// 8346 /// 8347,HIST1H2BC
214456_x_at,SAA1 /// SAA2,6288 /// 6289,SAA2
214457_at,HOXA2,3199,HOXA2
214458_at,TRAF3IP1,26146,TRAF3IP1
214459_x_at,HLA-C,3107,HLA-C
214460_at,LSAMP,4045,LSAMP
214461_at,LBP,3929,LBP
214462_at,SOCS6,9306,SOCS6
214463_x_at,HIST1H4J,8363,HIST1H4J
214464_at,CDC42BPA,8476,CDC42BPA
214465_at,ORM1 /// ORM2,5004 /// 5005,ORM2
214466_at,GJA5 /// LOC101060613,2702 /// 101060613,GJA5
214467_at,GPR65,8477,GPR65
214468_at,MYH6,4624,MYH6
214469_at,HIST1H2AB /// HIST1H2AE,3012 /// 8335,HIST1H2AE
214470_at,KLRB1,3820,KLRB1
214471_x_at,LHB,3972,CGB1
214472_at,HIST1H2AD /// HIST1H3A /// HIST1H3B /// HIST1H3C /// HIST1H3D /// HIST1H3E /// HIST1H3F /// HIST1H3G /// HIST1H3H /// HIST1H3I /// HIST1H3J,3013 /// 8350 /// 8351 /// 8352 /// 8353 /// 8354 /// 8355 /// 8356 /// 8357 /// 8358 /// 8968,HIST1H3F
214473_x_at,PMS2P3,5387,PMS2P3
214474_at,LOC101060511 /// PRKAB2,5565 /// 101060511,PRKAB2
214475_x_at,CAPN3,825,CAPN3
214476_at,TFF2,7032,TFF2
214477_at,MLLT1,4298,MLLT1
214478_at,SPP2,6694,SPP2
214479_at,GFRA3,2676,GFRA3
214480_at,ETV3,2117,ETV3
214481_at,HIST1H2AM,8336,HIST1H2AM
214482_at,ZBTB25,7597,ZBTB25
214483_s_at,ARFIP1,27236,ARFIP1
214484_s_at,SIGMAR1,10280,SIGMAR1
214485_at,ODF1,4956,ODF1
214486_x_at,CFLAR,8837,CFLAR
214487_s_at,RAP2A /// RAP2B,5911 /// 5912,RAP2B
214488_at,RAP2B,5912,RAP2B
214489_at,FSHB,2488,FSHB
214490_at,ARSF,416,ARSF
214491_at,SSTR3,6753,SSTR3
214492_at,SGCD,6444,SGCD
214493_s_at,INADL,10207,PATJ
214494_s_at,SPG7,6687,LOC101930112
214495_at,CACNG2,10369,CACNG2
214496_x_at,KAT6B,23522,KAT6B
214497_s_at,NHLH2,4808,NHLH2
214498_at,ASIP,434,ASIP
214499_s_at,BCLAF1,9774,BCLAF1
214500_at,H2AFY,9555,H2AFY
214501_s_at,H2AFY,9555,H2AFY
214502_at,HIST1H2BJ,8970,HIST1H2BJ
214503_x_at,GPR135,64582,GPR135
214504_at,ABO,28,ABO
214505_s_at,FHL1,2273,FHL1
214506_at,GPR182,11318,GPR182
214507_s_at,EXOSC2,23404,EXOSC2
214508_x_at,CREM,1390,CREM
214509_at,HIST1H3A /// HIST1H3B /// HIST1H3C /// HIST1H3D /// HIST1H3E /// HIST1H3F /// HIST1H3G /// HIST1H3H /// HIST1H3I /// HIST1H3J,8350 /// 8351 /// 8352 /// 8353 /// 8354 /// 8355 /// 8356 /// 8357 /// 8358 /// 8968,HIST1H3I
214510_at,GPR20,2843,GPR20
214511_x_at,FCGR1B,2210,FCGR1B
214512_s_at,SUB1,10923,SUB1
214513_s_at,CREB1,1385,CREB1
214514_at,MCM3AP,8888,MCM3AP
214515_at,OR1E1,8387,OR1E1
214516_at,HIST1H4A /// HIST1H4B /// HIST1H4C /// HIST1H4D /// HIST1H4E /// HIST1H4F /// HIST1H4H /// HIST1H4I /// HIST1H4J /// HIST1H4K /// HIST1H4L /// HIST2H4A /// HIST2H4B /// HIST4H4,8294 /// 8359 /// 8360 /// 8361 /// 8362 /// 8363 /// 8364 /// 8365 /// 8366 /// 8367 /// 8368 /// 8370 /// 121504 /// 554313,HIST2H4B
214517_at,KRTAP5-9,3846,KRTAP5-9
214518_at,PDHA2,5161,PDHA2
214519_s_at,RLN2,6019,RLN2
214520_at,FOXC2,2303,FOXC2
214521_at,HES2,54626,HES2
214522_x_at,HIST1H2AD /// HIST1H3A /// HIST1H3B /// HIST1H3C /// HIST1H3D /// HIST1H3E /// HIST1H3F /// HIST1H3G /// HIST1H3H /// HIST1H3I /// HIST1H3J,3013 /// 8350 /// 8351 /// 8352 /// 8353 /// 8354 /// 8355 /// 8356 /// 8357 /// 8358 /// 8968,HIST1H3D
214523_at,CEBPE,1053,CEBPE
214524_at,GHRH,2691,GHRH
214525_x_at,MLH3,27030,MLH3
214526_x_at,PMS2P1,5379,PMS2P1
214527_s_at,PQBP1,10084,PQBP1
214528_s_at,PAX8,7849,PAX8
214529_at,TSHB,7252,TSHB
214530_x_at,EPB41,2035,EPB41
214531_s_at,SNX1,6642,SNX1
214532_x_at,POU5F1B,5462,POU5F1B
214533_at,CMA1,1215,CMA1
214534_at,HIST1H1B,3009,HIST1H1B
214535_s_at,ADAMTS2,9509,ADAMTS2
214536_at,SLURP1,57152,SLURP1
214537_at,HIST1H1D,3007,HIST1H1D
214538_x_at,RGS6,9628,RGS6
214539_at,SERPINB10,5273,SERPINB10
214540_at,HIST1H2BO,8348,HIST1H2BO
214541_s_at,QKI,9444,QKI
214542_x_at,HIST1H3F,8968,HIST1H2AH
214543_x_at,QKI,9444,QKI
214544_s_at,SNAP23,8773,SNAP23
214545_s_at,PROSC,11212,PROSC
214546_s_at,P2RY11 /// PPAN-P2RY11,5032 /// 692312,PPAN-P2RY11
214547_at,ADCY10,55811,ADCY10
214548_x_at,GNAS,2778,GNAS
214549_x_at,SPRR1A,6698,SPRR1A
214550_s_at,TNPO3,23534,TNPO3
214551_s_at,CD7,924,CD7
214552_s_at,RABEP1,9135,RABEP1
214553_s_at,ARPP19,10776,ARPP19
214554_at,HIST1H2AG /// HIST1H2AH /// HIST1H2AI /// HIST1H2AK /// HIST1H2AL /// HIST1H2AM,8329 /// 8330 /// 8332 /// 8336 /// 8969 /// 85235,HIST1H2AL
214555_at,SSTR5,6755,SSTR5
214556_at,SSTR4,6754,SSTR4
214557_at,PTTG2,10744,PTTG2
214558_at,GPR12,2835,GPR12
214559_at,DRD3,1814,DRD3
214560_at,FPR3,2359,FPR3
214561_at,LILRP2,79166,LILRP2
214562_at,HIST1H4A /// HIST1H4B /// HIST1H4C /// HIST1H4D /// HIST1H4E /// HIST1H4F /// HIST1H4H /// HIST1H4I /// HIST1H4J /// HIST1H4K /// HIST1H4L /// HIST2H4A /// HIST2H4B /// HIST4H4,8294 /// 8359 /// 8360 /// 8361 /// 8362 /// 8363 /// 8364 /// 8365 /// 8366 /// 8367 /// 8368 /// 8370 /// 121504 /// 554313,HIST1H4L
214563_at,PCDHGC3,5098,PCDHGC3
214564_s_at,PCDHGC3,5098,PCDHGC3
214565_s_at,SMR3A /// SMR3B,10879 /// 26952,SMR3A
214566_at,SMR3A,26952,SMR3A
214567_s_at,XCL1 /// XCL2,6375 /// 6846,XCL2
214568_at,TPSD1,23430,TPSD1
214569_at,IFNA5,3442,IFNA5
214570_x_at,LOC100996817 /// LOC101060466 /// LOC727983 /// POM121L10P /// POM121L1P /// POM121L4P /// POM121L8P /// POM121L9P,25812 /// 29774 /// 29797 /// 266697 /// 646074 /// 727983 /// 100996817 /// 101060466,LOC102725315
214571_at,FGF3,2248,FGF3
214572_s_at,INSL3,3640,INSL3
214574_x_at,LST1,7940,LST1
214575_s_at,AZU1,566,AZU1
214576_at,KRT36,8689,KRT36
214577_at,MAP1B,4131,MAP1B
214578_s_at,ROCK1,6093,ROCK1
214579_at,NIPAL3,57185,NIPAL3
214580_x_at,KRT6A /// KRT6B /// KRT6C,3853 /// 3854 /// 286887,KRT6C
214581_x_at,TNFRSF21,27242,TNFRSF21
214582_at,PDE3B,5140,PDE3B
214583_at,DDI2 /// RSC1A1,6248 /// 84301,DDI2
214584_x_at,ACACB,32,ACACB
214585_s_at,VPS52,6293,VPS52
214586_at,GPR37,2861,GPR37
214587_at,COL8A1,1295,COL8A1
214588_s_at,MFAP3,4238,MFAP3
214589_at,FGF12,2257,FGF12
214590_s_at,UBE2D1,7321,UBE2D1
214591_at,KLHL4,56062,KLHL4
214592_s_at,SNAPC5,10302,SNAPC5
214593_at,PIAS2,9063,PIAS2
214594_x_at,ATP8B1,5205,ATP8B1
214595_at,KCNG1,3755,KCNG1
214596_at,CHRM3,1131,CHRM3
214597_at,SSTR2,6752,SSTR2
214598_at,CLDN8,9073,CLDN8
214599_at,IVL,3713,IVL
214600_at,TEAD1,7003,TEAD1
214601_at,TPH1,7166,TPH1
214602_at,COL4A4,1286,COL4A4
214603_at,MAGEA2 /// MAGEA2B,4101 /// 266740,MAGEA2B
214604_at,HOXD11,3237,HOXD11
214605_x_at,GPR1,2825,GPR1
