Probe Set ID,Gene Symbol G,Entrez Gene,IDENTIFIER
200742_s_at,TPP1,1200,TPP1
200743_s_at,TPP1,1200,TPP1
200744_s_at,GNB1,2782,GNB1
200745_s_at,GNB1,2782,GNB1
200746_s_at,GNB1,2782,GNB1
200747_s_at,NUMA1,4926,NUMA1
200748_s_at,FTH1,2495,FTH1
200749_at,RAN,5901,RAN
200750_s_at,RAN,5901,RAN
200751_s_at,HNRNPC,3183,HNRNPC
200752_s_at,CAPN1,823,CAPN1
200753_x_at,MIR636 /// SRSF2,6427 /// 693221,MIR636
200754_x_at,MIR636 /// SRSF2,6427 /// 693221,MIR636
200755_s_at,CALU,813,CALU
200756_x_at,CALU,813,CALU
200757_s_at,CALU,813,CALU
200758_s_at,NFE2L1,4779,NFE2L1
200759_x_at,NFE2L1,4779,NFE2L1
200760_s_at,ARL6IP5,10550,ARL6IP5
200761_s_at,ARL6IP5,10550,ARL6IP5
200762_at,DPYSL2,1808,DPYSL2
200763_s_at,RPLP1,6176,RPLP1
200764_s_at,CTNNA1,1495,CTNNA1
200765_x_at,CTNNA1,1495,CTNNA1
200766_at,CTSD,1509,CTSD
200767_s_at,FAM120A,23196,FAM120A
200768_s_at,MAT2A,4144,MAT2A
200769_s_at,MAT2A,4144,MAT2A
200770_s_at,LAMC1,3915,LAMC1
200771_at,LAMC1,3915,LAMC1
200772_x_at,LOC100506248 /// LOC728026 /// MIR1244-1 /// MIR1244-2 /// MIR1244-3 /// PTMA,5757 /// 728026 /// 100302285 /// 100422872 /// 100422885 /// 100506248,LOC100506248
200773_x_at,PTMA,5757,PTMA
200774_at,FAM120A,23196,FAM120A
200775_s_at,HNRNPK /// MIR7-1,3190 /// 407043,HNRNPK
200776_s_at,BZW1,9689,BZW1
200777_s_at,BZW1,9689,BZW1
200778_s_at,/SEPT2,4735,2-Sep
200779_at,ATF4,468,ATF4
200780_x_at,GNAS,2778,GNAS
200781_s_at,RPS15A,6210,RPS15A
200782_at,ANXA5,308,ANXA5
200783_s_at,STMN1,3925,STMN1
